x	y	z	Net. Name	Net. WB Label	Peak prob.
-29	-12	-33	Medial Temporal	14	94.203
-23	-93	-15	Visual	2	94.203
-11	-93	-15	Visual	2	95.652
8	-90	-9	Visual	2	95.652
17	-30	-15	Parieto-occipital	16	89.855
20	-90	-15	Visual	2	92.754
32	-15	-30	Medial Temporal	14	91.304
-52	-25	44	Somatomotor- Dorsal	10	88.406
-44	-31	44	Somatomotor- Dorsal	10	95.652
-39	-22	52	Somatomotor- Dorsal	10	100.000
-38	-30	66	Somatomotor- Dorsal	10	98.551
-38	-18	66	Somatomotor- Dorsal	10	95.652
-29	-45	57	Somatomotor- Dorsal	10	88.406
-23	-33	69	Somatomotor- Dorsal	10	100.000
-21	-34	58	Somatomotor- Dorsal	10	97.101
-17	-48	69	Somatomotor- Dorsal	10	92.754
-14	-21	72	Somatomotor- Dorsal	10	98.551
-8	-24	63	Somatomotor- Dorsal	10	100.000
-8	-36	69	Somatomotor- Dorsal	10	97.101
-1	-18	49	Somatomotor- Dorsal	10	100.000
1	-31	58	Somatomotor- Dorsal	10	100.000
2	-21	57	Somatomotor- Dorsal	10	100.000
11	-6	45	Somatomotor- Dorsal	10	91.304
8	-48	69	Somatomotor- Dorsal	10	89.855
8	-21	72	Somatomotor- Dorsal	10	97.101
11	-36	72	Somatomotor- Dorsal	10	97.101
18	-32	58	Somatomotor- Dorsal	10	97.101
20	-45	66	Somatomotor- Dorsal	10	89.855
26	-21	69	Somatomotor- Dorsal	10	100.000
26	-42	57	Somatomotor- Dorsal	10	95.652
35	-21	45	Somatomotor- Dorsal	10	97.101
39	-24	54	Somatomotor- Dorsal	10	100.000
47	-24	45	Somatomotor- Dorsal	10	92.754
-51	-13	24	Somatomotor- Lateral	11	92.754
-48	-14	34	Somatomotor- Lateral	11	86.957
48	-10	34	Somatomotor- Lateral	11	88.406
62	-12	27	Somatomotor- Lateral	11	89.855
-49	5	0	Cingulo-opercular	9	98.551
-43	0	10	Cingulo-opercular	9	91.304
-33	0	6	Cingulo-opercular	9	98.551
-6	13	36	Cingulo-opercular	9	97.101
-4	1	53	Cingulo-opercular	9	92.754
5	3	51	Cingulo-opercular	9	91.304
17	-15	63	Somatomotor- Dorsal	10	91.304
34	6	5	Cingulo-opercular	9	100.000
35	0	0	Cingulo-opercular	9	95.652
47	4	3	Cingulo-opercular	9	100.000
-58	-27	10	Auditory	12	81.159
-47	-28	5	Auditory	12	98.551
-37	-35	16	Auditory	12	91.304
-29	-29	12	Auditory	12	89.855
30	-32	14	Auditory	12	91.304
55	-19	10	Auditory	12	85.507
62	-36	24	Cingulo-opercular	9	94.203
-65	-24	-15	Default Mode	1	85.507
-47	-43	0	Ventral Attention	7	89.855
-47	-61	18	Default Mode	1	91.304
-43	-65	31	Default Mode	1	98.551
-38	-75	39	Default Mode	1	97.101
-35	15	51	Default Mode	1	86.957
-32	-39	-15	Parieto-occipital	16	91.304
