ROI number	x	y	z	Net. Name	Net. WB Label	Peak Prob.
1	-57.96	-22.53	-14.92	Default Mode	1	84.058
2	-31.13	-9.99	-36.32	Medial Temporal	14	92.754
3	-24.66	-94.69	-12.51	Visual	2	92.754
4	-12.08	-94.56	-12.8	Visual	2	95.652
5	7.98	-91.08	-7.1	Visual	2	95.652
6	17.44	-28.06	-17.32	Parieto-occipital	16	89.855
7	20.41	-91.06	-13.71	Visual	2	92.754
8	32.85	-12.41	-34.41	Medial Temporal	14	89.855
9	-50.38	-22.5	43.03	Somatomotor- Dorsal	10	89.855
10	-45.09	-28.7	46.44	Somatomotor- Dorsal	10	95.652
11	-39.63	-19.04	54.21	Somatomotor- Dorsal	10	100
12	-38.28	-27.17	69.45	Somatomotor- Dorsal	10	98.551
13	-38.24	-14.57	68.72	Somatomotor- Dorsal	10	95.652
14	-29.1	-43	60.66	Somatomotor- Dorsal	10	88.406
15	-22.5	-30.1	72.44	Somatomotor- Dorsal	10	100
16	-20.66	-31.33	60.85	Somatomotor- Dorsal	10	98.551
17	-16.25	-45.8	73.22	Somatomotor- Dorsal	10	92.754
18	-12.96	-17.34	74.66	Somatomotor- Dorsal	10	98.551
19	-6.9	-20.59	65.21	Somatomotor- Dorsal	10	100
20	-6.79	-33.09	72.27	Somatomotor- Dorsal	10	97.101
21	0.13	-14.47	49.9	Somatomotor- Dorsal	10	100
22	2.4	-27.94	60.15	Somatomotor- Dorsal	10	100
23	3.45	-17.44	58.45	Somatomotor- Dorsal	10	100
24	12.64	-1.8	44.66	Somatomotor- Dorsal	10	89.855
25	9.94	-45.52	72.63	Somatomotor- Dorsal	10	89.855
26	10.09	-17.1	74.14	Somatomotor- Dorsal	10	97.101
27	13.19	-32.82	74.98	Somatomotor- Dorsal	10	98.551
28	20.21	-28.8	59.8	Somatomotor- Dorsal	10	97.101
29	22.45	-42.29	68.99	Somatomotor- Dorsal	10	89.855
30	28.88	-16.95	70.55	Somatomotor- Dorsal	10	100
31	28.54	-39.24	59.17	Somatomotor- Dorsal	10	97.101
32	37.74	-17.3	45.01	Somatomotor- Dorsal	10	98.551
33	42.14	-20.24	54.59	Somatomotor- Dorsal	10	100
34	50.31	-20.32	44.91	Somatomotor- Dorsal	10	94.203
35	-52.84	-10.23	24.41	Somatomotor- Lateral	11	91.304
36	-49.47	-11.06	34.95	Somatomotor- Lateral	11	88.406
37	51.14	-5.8	32.42	Somatomotor- Lateral	11	86.957
38	65.64	-7.88	24.83	Somatomotor- Lateral	11	88.406
39	-51.26	8.26	-2.06	Cingulo-opercular	9	98.551
40	-44.75	3.26	8.65	Cingulo-opercular	9	92.754
41	-34.37	3.29	4.19	Cingulo-opercular	9	98.551
42	-5.33	17.8	34.41	Cingulo-opercular	9	98.551
43	-2.87	5.53	53.03	Cingulo-opercular	9	92.754
44	6.52	7.69	50.58	Cingulo-opercular	9	91.304
45	19.33	-10.86	64.06	Somatomotor- Dorsal	10	91.304
46	35.83	10.32	1.18	Cingulo-opercular	9	100
